Species,GeneID,GeneName,Elements,Citation(s) - DOI only,Closest species orthologs,Tissue,Comments
Athaliana_TAIR10,AT2G42000,MT4a,"Cu,Zn",10.1111/j.1365-3040.2011.02450.x,,Seeds,NA
Athaliana_TAIR10,AT2G44790,UCC2,"Mg,P,S,Co",10.1016/j.cub.2020.07.095,,Leaf,NA
Athaliana_TAIR10,AT2G46430,CNGC3,K,10.1093/jxb/erj064,NA,Leaf,NA
Athaliana_TAIR10,AT2G46800,MTP1,Zn,10.1016/j.febslet.2005.06.046,NA,Shoots,NA
Athaliana_TAIR10,AT2G47160,BOR1,B,10.1111/j.1365-313X.2006.02763.x,,Shoots,NA
Athaliana_TAIR10,AT3G01310,VIH2,P,10.7554/eLife.43582,,Shoots,NA
Athaliana_TAIR10,AT3G06060,TSC10a,"Na,K,Rb,Mg,Ca,Fe,Mo",10.1105/tpc.110.079095,NA,Leaf,NA
Athaliana_TAIR10,AT3G06100,NIP7,As,10.1002/1873-3468.12103;10.1016/j.febslet.2008.04.022,NA,NA,NA
Athaliana_TAIR10,AT3G08040,FRD3/MAN1,"Mn,Fe,Zn","10.1104/pp.111.3.849, 10.1105/tpc.001495",NA,"Leaf, Shoots",NA
Athaliana_TAIR10,AT3G12750,ZIP1,Mn,10.1093/jxb/ers315,,Roots,NA
Athaliana_TAIR10,AT3G12820,MYB10,"Fe,Cd,Zn,Co,Mo",10.1371/journal.pgen.1003953,NA,Leaf,NA
Athaliana_TAIR10,AT3G13320,CAX2,"Mn,Fe,K,P",10.1371/journal.pone.0047455,,Seed,"*Cited in the paper, but thalemine only has publication available for CAX1"
Athaliana_TAIR10,AT3G14280,AT3G14280,S,10.1371/journal.pone.0063014,,seeds,NA
Athaliana_TAIR10,AT3G15380,CTL1,"Na, Fe, Zn, Mn, Mo",10.1371/journal.pbio.2002978,NA,"Shoots, Roots",NA
Athaliana_TAIR10,AT3G18290,BTS,"Fe,Zn,Mn",10.1039/c7mt00152e,NA,"Leaf,seeds",NA
Athaliana_TAIR10,AT3G22890,ATPS1,S,10.1104/pp.113.225748,NA,Shoos,NA
Athaliana_TAIR10,AT3G23210,bHLH34,Fe,10.1104/pp.15.01827,NA,"roots, shoots",NA
Athaliana_TAIR10,AT3G23430,PHO1,P,10.1093/jxb/ert444,,Shoots,NA
Athaliana_TAIR10,AT3G43790,ZIFL2,Cs,10.1093/pcp/pcu157,NA,Leaf,NA
Athaliana_TAIR10,AT3G47640,PYE,"Fe,Zn,Mn,Co",10.1105/tpc.110.074096,NA,Root,NA
Athaliana_TAIR10,AT3G47950,AHA4,Na,10.1046/j.1365-313x.2001.01081.x,NA,Root,NA
Athaliana_TAIR10,AT3G51040,RTH,"Fe",10.1007/s00299-024-03214-x,,"Shoots",
Athaliana_TAIR10,AT3G51860,CAX3,"P,K",10.1371/journal.pone.0047455,,Seed,"*Cited in the paper, but thalemine only has publication available for CAX1"
Athaliana_TAIR10,AT3G51895,SULTR3;1,S,10.1111/tpj.12059,,Leaf,NA
Athaliana_TAIR10,AT3G56970,bHLH38,Fe,10.1038/cr.2008.26,,Shoots,NA
Athaliana_TAIR10,AT3G56980,bHLH39,Fe,10.1038/cr.2008.26,,Shoots,NA
Athaliana_TAIR10,AT3G58060,MTP8,"Mn,Fe","10.1104/pp.15.01194, 10.1104/pp.16.01646, 10.1111/pce.15237",NA,"Shoots,seeds,roots",NA
Athaliana_TAIR10,AT3G58810,MTP3,Zn,10.1111/j.1365-313X.2006.02746.x,NA,Shoots,NA
Athaliana_TAIR10,AT3G58970,MGT6,Mg,10.1105/tpc.114.124628,,"Roots,Shoots",NA
Athaliana_TAIR10,AT3G62270,BOR2,B,10.1104/pp.113.225995,,Shoots,NA
Athaliana_TAIR10,AT4G02780,GA1,Fe,10.1016/j.devcel.2016.03.022,NA,Root,NA
Athaliana_TAIR10,AT4G10310,HKT1;1,Na,10.1371/journal.pgen.1001193,NA,Leaf,NA
Athaliana_TAIR10,AT4G10380,NIP5;1,B,10.1105/tpc.106.041640,,"Roots,shoots",NA
Athaliana_TAIR10,AT4G13420,HAK5,"Rb,Cs",10.1111/j.1399-3054.2008.01168.x;10.1093/jxb/erm330,,Roots,NA
Athaliana_TAIR10,AT4G13590,CMT1,"Mn,Fe",10.1016/j.molp.2018.04.008,,Shoots,NA
Athaliana_TAIR10,AT4G14410,bHLH104,Fe,10.1104/pp.15.01827,NA,"roots, shoots",NA
Athaliana_TAIR10,AT4G16370,OPT3,"Fe,Cd",10.1105/tpc.114.123737,NA,Leaf,NA
Athaliana_TAIR10,AT4G18910,NIP1;2,Al,10.1073/pnas.1618557114,,Roots,NA
Athaliana_TAIR10,AT4G19680,IRT2,"Zn,Fe,Cd,Mn",10.1007/s00425-009-0904-8,NA,"Leaf",NA
Athaliana_TAIR10,AT4G19690,IRT1,"Fe,Mn,Co,Cd,Zn",10.1073/pnas.93.11.5624,NA,Root,NA
Athaliana_TAIR10,AT4G20140,GSO1/SGN3,"Cs,K,Mg",10.7554/eLife.03115,,Leaf,NA
Athaliana_TAIR10,AT4G23100,GSH1,"Cd,As",10.1016/j.chemosphere.2008.04.018,,Shoots,NA
Athaliana_TAIR10,AT4G24120,YSL1,"Fe,Zn,Cu",10.1104/pp.110.90033,NA,NA,NA
Athaliana_TAIR10,AT4G28610,PHR1,P,10.1111/j.1365-3040.2007.01734.x,,Shoots,NA
Athaliana_TAIR10,AT4G30110,HMA2,Zn,10.1105/tpc.020487; 10.1038/NPLANTS.2016.36,Osativa,"Shoots,seeds",NA
Athaliana_TAIR10,AT4G30120,HMA3,"Cd,Zn",10.1371/journal.pgen.1002923; Salt Lab paper,NA,Leaf,NA
Athaliana_TAIR10,AT4G33000,CBL10,K,10.1111/tpj.12123,,Shoots,NA
Athaliana_TAIR10,AT4G35020,ROP6,"Mn,Fe",10.1111/pce.15237,,"Roots,Shoots",
Athaliana_TAIR10,AT4G35040,bZIP19,Zn,10.1073/pnas.1004788107,NA,"Shoots, roots",NA
